memory1,compute1,memory2,compute2,startup_time,load,throughput,latency
2,60,2,60,51098.676,2,1.648,1112.282
2,60,2,60,51098.676,4,2.33,1613.233
2,60,2,60,51098.676,8,3.291,2284.464
2,60,2,60,51098.676,16,3.854,3985.307
2,60,2,60,51098.676,32,4.281,7299.775
2,60,2,60,51098.676,64,4.434,14082.875
2,60,2,60,51098.676,128,4.377,21872.979
2,70,2,70,55218.403,2,1.642,1164.66
2,70,2,70,55218.403,4,2.634,1514.646
2,70,2,70,55218.403,8,3.292,2420.788
2,70,2,70,55218.403,16,3.86,4030.379
2,70,2,70,55218.403,32,4.327,7150.336
2,70,2,70,55218.403,64,4.403,14330.345
2,70,2,70,55218.403,128,4.303,22047.296
2,80,2,80,54855.099,2,1.647,1164.673
2,80,2,80,54855.099,4,2.638,1462.488
2,80,2,80,54855.099,8,3.293,2420.37
2,80,2,80,54855.099,16,3.953,4030.975
2,80,2,80,54855.099,32,4.275,7354.017
2,80,2,80,54855.099,64,4.502,13960.978
2,80,2,80,54855.099,128,4.274,21285.884
2,90,2,90,50199.312,2,1.523,1211.473
2,90,2,90,50199.312,4,2.637,1463.158
2,90,2,90,50199.312,8,3.298,2320.486
2,90,2,90,50199.312,16,3.955,3929.568
2,90,2,90,50199.312,32,4.46,7049.127
2,90,2,90,50199.312,64,4.661,13510.778
2,90,2,90,50199.312,128,4.549,20658.034
2,100,2,100,53852.567,2,1.65,909.916
2,100,2,100,53852.567,4,2.642,1211.761
2,100,2,100,53852.567,8,3.298,2067.609
2,100,2,100,53852.567,16,3.768,4079.647
2,100,2,100,53852.567,32,4.279,7249.366
2,100,2,100,53852.567,64,3.87,13710.485
2,100,2,100,53852.567,128,3.969,23155.806
2,60,4,60,50132.196,2,1.648,1163.161
2,60,4,60,50132.196,4,2.824,1368.26
2,60,4,60,50132.196,8,3.44,2267.76
2,60,4,60,50132.196,16,3.956,4029.325
2,60,4,60,50132.196,32,4.168,7549.756
2,60,4,60,50132.196,64,4.257,14623.637
2,60,4,60,50132.196,128,3.892,23882.446
2,70,4,70,51014.334,2,1.651,1010.369
2,70,4,70,51014.334,4,2.328,1463.594
2,70,4,70,51014.334,8,3.046,2269.271
2,70,4,70,51014.334,16,3.523,4431.907
2,70,4,70,51014.334,32,3.732,8345.283
2,70,4,70,51014.334,64,3.607,16638.471
2,70,4,70,51014.334,128,3.035,28755.614
2,80,4,80,53215.162,2,1.523,1010.29
2,80,4,80,53215.162,4,2.195,1668.645
2,80,4,80,53215.162,8,2.937,2567.982
2,80,4,80,53215.162,16,3.779,4101.997
2,80,4,80,53215.162,32,3.731,7814.807
2,80,4,80,53215.162,64,3.651,15477.825
2,80,4,80,53215.162,128,3.715,23857.314
2,90,4,90,53832.892,2,1.161,1570.808
2,90,4,90,53832.892,4,1.653,1966.199
2,90,4,90,53832.892,8,2.09,3370.9
2,90,4,90,53832.892,16,2.147,6336.285
2,90,4,90,53832.892,32,2.462,11622.28
2,90,4,90,53832.892,64,2.672,23131.749
2,90,4,90,53832.892,128,1.968,42143.753
2,100,4,100,53930.947,2,1.652,1010.607
2,100,4,100,53930.947,4,2.639,1414.057
2,100,4,100,53930.947,8,3.292,2419.601
2,100,4,100,53930.947,16,3.521,4229.621
2,100,4,100,53930.947,32,3.487,7948.324
2,100,4,100,53930.947,64,3.596,15643.813
2,100,4,100,53930.947,128,3.61,23906.889
4,60,4,60,52843.33,2,1.651,910.459
4,60,4,60,52843.33,4,2.474,1262.9
4,60,4,60,52843.33,8,3.047,2167.563
4,60,4,60,52843.33,16,3.602,4278.887
4,60,4,60,52843.33,32,3.82,7749.604
4,60,4,60,52843.33,64,3.921,15171.003
4,60,4,60,52843.33,128,3.036,25463.586
4,70,4,70,53366.347,2,1.797,1065.206
4,70,4,70,53366.347,4,2.473,1614.007
4,70,4,70,53366.347,8,3.041,2572.187
4,70,4,70,53366.347,16,2.994,5282.731
4,70,4,70,53366.347,32,1.928,14165.999
4,70,4,70,53366.347,64,2.682,23692.673
4,70,4,70,53366.347,128,2.283,37609.823
4,80,4,80,64499.129,2,1.415,1312.48
4,80,4,80,64499.129,4,1.727,1963.135
4,80,4,80,64499.129,8,1.848,3271.435
4,80,4,80,64499.129,16,1.916,7035.383
4,80,4,80,64499.129,32,2.133,13815.35
4,80,4,80,64499.129,64,2.446,25814.038
4,80,4,80,64499.129,128,2.261,39618.607
4,90,4,90,55215.209,2,1.515,1264.207
4,90,4,90,55215.209,4,2.33,1613.182
4,90,4,90,55215.209,8,2.935,2417.804
4,90,4,90,55215.209,16,3.301,4180.175
4,90,4,90,55215.209,32,3.448,8151.295
4,90,4,90,55215.209,64,3.529,16033.355
4,90,4,90,55215.209,128,3.311,25133.927
4,100,4,100,56499.222,2,1.408,1266.579
4,100,4,100,56499.222,4,2.087,1814.117
4,100,4,100,56499.222,8,2.334,3323.063
4,100,4,100,56499.222,16,2.301,6938.007
4,100,4,100,56499.222,32,2.377,12968.834
4,100,4,100,56499.222,64,2.248,26912.65
4,100,4,100,56499.222,128,1.965,41927.148
4,60,6,60,55129.72,2,1.515,1115.039
4,60,6,60,55129.72,4,2.329,1564.53
4,60,6,60,55129.72,8,2.829,2770.44
4,60,6,60,55129.72,16,2.782,5684.276
4,60,6,60,55129.72,32,2.558,11998.456
4,60,6,60,55129.72,64,2.514,24553.689
4,60,6,60,55129.72,128,2.344,40992.39
4,70,6,70,55073.956,2,1.239,1416.315
4,70,6,70,55073.956,4,1.803,1764.377
4,70,6,70,55073.956,8,2.202,3536.921
4,70,6,70,55073.956,16,2.207,6815.803
4,70,6,70,55073.956,32,2.238,13113.587
4,70,6,70,55073.956,64,2.428,25443.916
4,70,6,70,55073.956,128,2.577,36751.311
4,80,6,80,56517.892,2,1.413,1312.742
4,80,6,80,56517.892,4,1.796,2069.971
4,80,6,80,56517.892,8,2.089,3621.692
4,80,6,80,56517.892,16,2.237,6838.058
4,80,6,80,56517.892,32,2.272,13662.65
4,80,6,80,56517.892,64,1.834,30533.805
4,80,6,80,56517.892,128,1.99,44263.135
4,90,6,90,54904.698,2,1.638,1116.851
4,90,6,90,54904.698,4,1.801,1916.549
4,90,6,90,54904.698,8,2.146,3671.532
4,90,6,90,54904.698,16,2.3,6640.258
4,90,6,90,54904.698,32,2.321,12860.12
4,90,6,90,54904.698,64,2.456,25411.367
4,90,6,90,54904.698,128,2.51,37826.709
4,100,6,100,59179.454,2,1.414,1264.394
4,100,6,100,59179.454,4,1.799,2116.717
4,100,6,100,59179.454,8,2.478,3070.468
4,100,6,100,59179.454,16,1.767,7536.041
4,100,6,100,59179.454,32,2.409,12903.864
4,100,6,100,59179.454,64,1.906,28815.133
4,100,6,100,59179.454,128,2.004,42640.381
6,60,6,60,55732.286,2,1.522,1212.24
6,60,6,60,55732.286,4,2.087,1713.235
6,60,6,60,55732.286,8,2.479,2869.938
6,60,6,60,55732.286,16,2.479,6390.876
6,60,6,60,55732.286,32,2.39,13165.447
6,60,6,60,55732.286,64,2.248,26537.004
6,60,6,60,55732.286,128,2.181,40982.371
6,70,6,70,58596.705,2,1.652,1160.702
6,70,6,70,58596.705,4,2.474,1613.372
6,70,6,70,58596.705,8,3.045,2518.875
6,70,6,70,58596.705,16,3.518,4182.976
6,70,6,70,58596.705,32,3.735,8182.07
6,70,6,70,58596.705,64,3.827,15612.068
6,70,6,70,58596.705,128,2.993,25944.329
6,80,6,80,54968.765,2,1.513,1267.826
6,80,6,80,54968.765,4,1.883,1917.393
6,80,6,80,54968.765,8,2.034,3323.901
6,80,6,80,54968.765,16,2.147,6755.086
6,80,6,80,54968.765,32,2.191,13557.764
6,80,6,80,54968.765,64,2.256,27193.419
6,80,6,80,54968.765,128,2.246,40469.894
6,90,6,90,58926.626,2,1.515,1217.505
6,90,6,90,58926.626,4,1.586,2469.315
6,90,6,90,58926.626,8,1.69,4261.479
6,90,6,90,58926.626,16,1.807,8088.188
6,90,6,90,58926.626,32,1.861,15117.152
6,90,6,90,58926.626,64,2.74,22751.844
6,90,6,90,58926.626,128,1.876,42935.156
6,100,6,100,58307.524,2,1.794,1066.129
6,100,6,100,58307.524,4,2.64,1462.753
6,100,6,100,58307.524,8,3.047,2568.458
6,100,6,100,58307.524,16,2.934,5336.413
6,100,6,100,58307.524,32,2.786,11207.932
6,100,6,100,58307.524,64,2.639,23613.746
6,100,6,100,58307.524,128,2.094,40135.687
6,60,8,60,60223.541,2,2.445,762.81
6,60,8,60,60223.541,4,1.888,1863.649
6,60,8,60,60223.541,8,2.087,3522.779
6,60,8,60,60223.541,16,1.731,7443.232
6,60,8,60,60223.541,32,1.693,16111.805
6,60,8,60,60223.541,64,1.973,29676.628
6,60,8,60,60223.541,128,2.307,40572.825
6,70,8,70,55942.415,2,1.979,963.637
6,70,8,70,55942.415,4,3.033,1263.276
6,70,8,70,55942.415,8,3.438,2268.873
6,70,8,70,55942.415,16,3.596,4182.035
6,70,8,70,55942.415,32,3.486,8020.856
6,70,8,70,55942.415,64,2.264,21126.367
6,70,8,70,55942.415,128,2.18,32093.685
6,80,8,80,53708.021,2,1.321,1412.407
6,80,8,80,53708.021,4,2.203,1762.894
6,80,8,80,53708.021,8,2.554,3086.117
6,80,8,80,53708.021,16,2.481,6133.987
6,80,8,80,53708.021,32,2.692,11557.993
6,80,8,80,53708.021,64,2.641,23978.42
6,80,8,80,53708.021,128,2.289,38943.765
6,90,8,90,55360.947,2,1.408,1015.168
6,90,8,90,55360.947,4,2.331,1512.544
6,90,8,90,55360.947,8,2.733,2669.164
6,90,8,90,55360.947,16,2.518,6036.368
6,90,8,90,55360.947,32,2.289,12681.283
6,90,8,90,55360.947,64,2.565,24099.454
6,90,8,90,55360.947,128,2.269,39392.169
6,100,8,100,60115.497,2,1.638,1067.578
6,100,8,100,60115.497,4,2.325,1565.553
6,100,8,100,60115.497,8,3.044,2570.418
6,100,8,100,60115.497,16,2.78,5688.461
6,100,8,100,60115.497,32,2.669,11586.225
6,100,8,100,60115.497,64,2.494,24311.185
6,100,8,100,60115.497,128,2.314,39321.997
